Name,Earnings,Market Cap,Revenue,Share Price,Country
Saudi Aramco,2.9437E+11,2.097E+12,5.8888E+11,8.67,S. Arabia
Apple,1.123E+11,2.908E+12,3.8509E+11,184.92,USA
Exxon Mobil,86000000000,4.2503E+11,3.9458E+11,105.13,USA
Microsoft,85070000000,2.545E+12,2.0759E+11,342.33,USA
Equinor,78600000000,93740000000,1.49E+11,30.13,Norway
Alphabet (Google),70950000000,1.57E+12,2.8461E+11,124.06,USA
Shell,68390000000,2.0592E+11,3.8407E+11,60.35,UK
ICBC,60570000000,2.335E+11,1.2931E+11,0.54,China
China Construction Bank,55460000000,1.6257E+11,1.1543E+11,0.88,China
Petrobras,54690000000,90650000000,1.2405E+11,13.9,Brazil
JPMorgan Chase,52070000000,4.1864E+11,1.3632E+11,143.26,USA
Chevron,50630000000,2.9795E+11,2.3224E+11,157.26,USA
BP,47670000000,1.0307E+11,2.4831E+11,35.35,UK
Maersk,47020000000,30110000000,76440000000,"1,790",Denmark
TotalEnergies,45760000000,1.4096E+11,2.5759E+11,58.04,France
Agricultural Bank of China,43970000000,1.7244E+11,1.0278E+11,0.5,China
Bank of China,42080000000,1.5056E+11,90270000000,0.56,China
PetroChina,35110000000,1.8735E+11,4.6294E+11,1.06,China
BHP Group,33630000000,1.5985E+11,65090000000,63.17,Australia
Pfizer,33180000000,2.2615E+11,92950000000,40.06,USA
Tencent,32280000000,4.3845E+11,82030000000,45.81,China
Bank of America,32170000000,2.3261E+11,97980000000,29.19,USA
Verizon,28680000000,1.5327E+11,1.3619E+11,36.46,USA
BMW,27670000000,80470000000,1.5537E+11,122.31,Germany
Meta Platforms (Facebook),27640000000,7.2012E+11,1.1734E+11,281,USA
UnitedHealth,27150000000,4.2686E+11,3.3348E+11,458.49,USA
HSBC,26240000000,1.5586E+11,62740000000,39.18,UK
TSMC,25220000000,5.4234E+11,74550000000,104.57,Taiwan
ConocoPhillips,24890000000,1.2695E+11,75540000000,104.92,USA
BTS Group,24860000000,2870000000,500000000,0.22,Thailand
Samsung,24810000000,3.7684E+11,2.1804E+11,56.51,S. Korea
COSCO Shipping,24730000000,22420000000,57980000000,1.52,China
Johnson & Johnson,24480000000,4.2678E+11,96260000000,164.23,USA
CM Bank,24280000000,1.2065E+11,49230000000,4.83,China
Imperial Oil,24260000000,29050000000,43310000000,49.73,Canada
China Mobile,24120000000,1.7867E+11,1.3953E+11,8.13,China
Home Depot,23740000000,3.0199E+11,1.5575E+11,300.38,USA
Marathon Petroleum,22940000000,48710000000,1.7425E+11,113.29,USA
Glencore,22870000000,75070000000,2.5598E+11,6.03,Switzerland
Toyota,22460000000,2.2275E+11,2.7329E+11,164.35,Japan
Mercedes-Benz,21850000000,89130000000,1.5796E+11,83.32,Germany
LVMH,21540000000,4.7532E+11,84800000000,950.95,France
Dior,21520000000,1.6176E+11,84800000000,896.65,France
Volkswagen,20720000000,80600000000,3.0689E+11,141.25,Germany
Rio Tinto,20510000000,1.0957E+11,55550000000,67.55,UK
ENI,20240000000,47330000000,1.3274E+11,28.43,Italy
Alibaba,19950000000,2.36E+11,1.2598E+11,92.1,China
Citigroup,19720000000,93810000000,76520000000,48.19,USA
Ping An Insurance,19340000000,1.2362E+11,1.1657E+11,6.83,China
Walmart,19140000000,4.1881E+11,6.2202E+11,155.53,USA
CITIC limited,18950000000,37410000000,1.2593E+11,1.29,China
Visa,18950000000,4.7942E+11,30980000000,228.91,USA
Valero Energy,18670000000,41280000000,1.7428E+11,114.21,USA
Procter & Gamble,18400000000,3.5246E+11,80960000000,149.54,USA
Roche,17670000000,2.5373E+11,68500000000,314.07,Switzerland
Phillips 66,17160000000,44560000000,1.682E+11,97.13,USA
Vale,16480000000,63110000000,41460000000,14.44,Brazil
Merck,16460000000,2.7739E+11,57860000000,109.32,USA
Wells Fargo,16300000000,1.5826E+11,76920000000,42.18,USA
Sinopec,15660000000,1.0282E+11,4.8414E+11,0.91,China
Santander,15600000000,56790000000,56430000000,3.49,Spain
Hapag-Lloyd,15540000000,36150000000,33480000000,205.71,Germany
Fannie Mae,15440000000,2070000000,29840000000,2.77,USA
Broadcom,15320000000,3.5825E+11,34410000000,868.11,USA
Royal Bank Of Canada,15240000000,1.3282E+11,38540000000,95.45,Canada
Industrial Bank,14960000000,49570000000,31650000000,2.39,China
Cisco,14670000000,2.1218E+11,54890000000,52.07,USA
Bank of Communications,14400000000,55610000000,38480000000,0.82,China
China Shenhua Energy,14040000000,80840000000,50410000000,4.21,China
United Parcel Service,13950000000,1.5337E+11,98880000000,178.58,USA
Allianz,13920000000,92460000000,1.2213E+11,230.24,Germany
Toronto Dominion Bank,13750000000,1.1255E+11,36140000000,61.16,Canada
Deere & Company,13450000000,1.1951E+11,59670000000,407.63,USA
Kweichow Moutai,13440000000,3.1721E+11,19380000000,252.52,China
Coca-Cola,13350000000,2.6669E+11,43490000000,61.67,USA
Occidental Petroleum,13260000000,51850000000,35510000000,58.15,USA
Morgan Stanley,13260000000,1.4711E+11,49920000000,88.09,USA
Postal Savings Bank of China,13240000000,69700000000,34020000000,0.72,China
China State Construction Engineering,13180000000,36040000000,3.0433E+11,0.86,China
NTT (Nippon Telegraph & Telephone),13140000000,1.0081E+11,96350000000,29.47,Japan
Tesla,13050000000,8.2578E+11,86030000000,260.54,USA
Mitsubishi Corporation,13010000000,70460000000,1.5901E+11,49.36,Japan
Oracle,12890000000,3.3871E+11,47950000000,125.46,USA
Goldman Sachs,12820000000,1.1247E+11,46650000000,338.31,USA
BNP Paribas,12670000000,74660000000,66500000000,61.93,France
Ecopetrol,12600000000,21480000000,36850000000,10.45,eu Colombia
QUALCOMM,12530000000,1.3666E+11,41060000000,122.68,USA
Evergrande,12340000000,2780000000,77770000000,0.21,China
Vitru,12250000000,530000000,85880000000,15.7,Brazil
Nestlé,12210000000,3.2357E+11,1.0259E+11,121.27,Switzerland
EOG Resources,12170000000,66320000000,28310000000,113.41,USA
Charter Communications,12040000000,51380000000,54470000000,341.24,USA
Berkshire Hathaway,11900000000,7.3962E+11,2.855E+11,338.31,USA
