Name,Revenue,Multiplicative,Share Price,Country
Walmart,622.02,1000000000,155.53,USA
Saudi Aramco,588.88,1000000000,8.67,S. Arabia
Amazon,524.89,1000000000,125.49,USA
Sinopec,484.14,1000000000,0.91,China
PetroChina,462.94,1000000000,1.06,China
Exxon Mobil,394.58,1000000000,105.13,USA
Apple,385.09,1000000000,184.92,USA
Shell,384.07,1000000000,60.35,UK
UnitedHealth,333.48,1000000000,458.49,USA
CVS Health,330.91,1000000000,67.72,USA
Volkswagen,306.89,1000000000,141.25,Germany
China State Construction Engineering,304.33,1000000000,0.86,China
Berkshire Hathaway,285.50,1000000000,338.31,USA
Alphabet (Google),284.61,1000000000,124.06,USA
McKesson,276.71,1000000000,406.20,USA
Toyota,273.29,1000000000,164.35,Japan
TotalEnergies,257.59,1000000000,58.04,France
Glencore,255.98,1000000000,6.03,Switzerland
BP,248.31,1000000000,35.35,UK
Uniper,247.64,1000000000,5.79,Germany
AmerisourceBergen,247.54,1000000000,183.01,USA
Costco,237.06,1000000000,523.65,USA
Chevron,232.24,1000000000,157.26,USA
Exor,223.32,1000000000,88.72,Netherlands
Foxconn (Hon Hai Precision Industry),218.34,1000000000,3.62,Taiwan
Samsung,218.04,1000000000,56.51,S. Korea
Microsoft,207.59,1000000000,342.33,USA
Cardinal Health,198.66,1000000000,91.25,USA
Cigna,182.78,1000000000,268.83,USA
Valero Energy,174.28,1000000000,114.21,USA
Marathon Petroleum,174.25,1000000000,113.29,USA
China Railway Group,168.24,1000000000,0.66,China
Phillips 66,168.20,1000000000,97.13,USA
Ford,165.05,1000000000,14.42,USA
General Motors,160.74,1000000000,37.96,USA
Elevance Health,160.67,1000000000,443.21,USA
China Railway Construction,160.40,1000000000,1.46,China
Mitsubishi Corporation,159.01,1000000000,49.36,Japan
Mercedes-Benz,157.96,1000000000,83.32,Germany
Home Depot,155.75,1000000000,300.38,USA
BMW,155.37,1000000000,122.31,Germany
EDF (Electricité de France),153.65,1000000000,13.14,France
Jingdong Mall,152.32,1000000000,39.85,China
Equinor,149.00,1000000000,30.13,Norway
Kroger,148.25,1000000000,46.17,USA
China Life Insurance,147.95,1000000000,5.32,China
Centene,146.25,1000000000,65.66,USA
Enel,145.39,1000000000,6.69,Italy
China Mobile,139.53,1000000000,8.13,China
Gazprom,138.28,1000000000,2.22,Russia
JPMorgan Chase,136.32,1000000000,143.26,USA
Verizon,136.19,1000000000,36.46,USA
AXA,134.68,1000000000,28.90,France
Walgreens Boots Alliance,133.29,1000000000,32.67,USA
ENI,132.74,1000000000,28.43,Italy
ICBC,129.31,1000000000,0.54,China
Prudential,129.28,1000000000,28.89,UK
Alibaba,125.98,1000000000,92.10,China
CITIC limited,125.93,1000000000,1.29,China
E.ON,125.70,1000000000,12.50,Germany
Lukoil,124.77,1000000000,56.31,Russia
Honda,124.33,1000000000,31.32,Japan
Petrobras,124.05,1000000000,13.90,Brazil
Allianz,122.13,1000000000,230.24,Germany
AT&T,121.16,1000000000,16.06,USA
Comcast,120.10,1000000000,41.20,USA
Deutsche Telekom,119.09,1000000000,21.27,Germany
Meta Platforms (Facebook),117.34,1000000000,281.00,USA
Ping An Insurance,116.57,1000000000,6.83,China
China Construction Bank,115.43,1000000000,0.88,China
Hyundai,113.71,1000000000,41.82,S. Korea
Rosneft,110.59,1000000000,5.06,Russia
SAIC Motor,109.77,1000000000,1.98,China
ENEOS Holdings,109.69,1000000000,3.47,Japan
Target,109.27,1000000000,133.81,USA
Reliance Industries,108.21,1000000000,31.46,India
Mitsui Bussan,106.45,1000000000,39.54,Japan
China Communications Construction,105.18,1000000000,1.57,China
Indian Oil,104.94,1000000000,1.12,India
SK Group,103.79,1000000000,130.66,S. Korea
Itōchū Shōji,103.12,1000000000,40.28,Japan
Agricultural Bank of China,102.78,1000000000,0.50,China
Nestlé,102.59,1000000000,121.27,Switzerland
Dell,102.30,1000000000,49.67,USA
Archer Daniels Midland (ADM),102.27,1000000000,75.48,USA
Stellantis,101.32,1000000000,17.34,Netherlands
ENGIE,100.52,1000000000,15.72,France
Deutsche Post,99.41,1000000000,48.37,Germany
United Parcel Service,98.88,1000000000,178.58,USA
Bank of America,97.98,1000000000,29.19,USA
Life Insurance Corporation of India (LIC),97.89,1000000000,7.38,India
NTT (Nippon Telegraph & Telephone),96.35,1000000000,29.47,Japan
Johnson & Johnson,96.26,1000000000,164.23,USA
Lowe's Companies,95.74,1000000000,217.08,USA
Humana,95.64,1000000000,445.65,USA
PTT PCL,95.11,1000000000,0.92,Thailand
Ahold Delhaize,93.02,1000000000,32.94,Netherlands
Pfizer,92.95,1000000000,40.06,USA
FedEx,92.61,1000000000,233.46,USA
Bank of China,90.27,1000000000,0.56,China
The People's Insurance Company (PICC),89.11,1000000000,0.86,China
Carrefour,88.98,1000000000,18.02,France
Energy Transfer Partners,88.38,1000000000,12.82,USA
BASF,88.06,1000000000,50.03,Germany
Pepsico,88.03,1000000000,186.04,USA
7-Eleven,87.60,1000000000,43.33,Japan
Walt Disney,86.98,1000000000,91.32,USA
Generali,86.32,1000000000,20.47,Italy
Tesla,86.03,1000000000,260.54,USA
Vitru,85.88,1000000000,15.70,Brazil
Sony,85.05,1000000000,97.57,Japan
LVMH,84.80,1000000000,950.95,France
Dior,84.80,1000000000,896.65,France
Japan Post Holdings,84.00,1000000000,7.16,Japan
Hitachi,83.01,1000000000,63.40,Japan
Tencent,82.03,1000000000,45.81,China
Procter & Gamble,80.96,1000000000,149.54,USA
Sinopharm,80.05,1000000000,3.32,China
Siemens,79.41,1000000000,179.31,Germany
Tesco,79.31,1000000000,3.36,UK
