Name,Earnings,Multiplicative,Share Price,Country
Saudi Aramco,294.37,1000000000,8.67,S. Arabia
Apple,112.30,1000000000,184.92,USA
Exxon Mobil,86.00,1000000000,105.13,USA
Microsoft,85.07,1000000000,342.33,USA
Equinor,78.60,1000000000,30.13,Norway
Alphabet (Google),70.95,1000000000,124.06,USA
Shell,68.39,1000000000,60.35,UK
ICBC,60.57,1000000000,0.54,China
China Construction Bank,55.46,1000000000,0.88,China
Petrobras,54.69,1000000000,13.90,Brazil
JPMorgan Chase,52.07,1000000000,143.26,USA
Chevron,50.63,1000000000,157.26,USA
BP,47.67,1000000000,35.35,UK
Maersk,47.02,1000000000,"1,790",Denmark
TotalEnergies,45.76,1000000000,58.04,France
Gazprom,44.16,1000000000,2.22,Russia
Agricultural Bank of China,43.97,1000000000,0.50,China
Bank of China,42.08,1000000000,0.56,China
PetroChina,35.11,1000000000,1.06,China
BHP Group,33.63,1000000000,63.17,Australia
Pfizer,33.18,1000000000,40.06,USA
Tencent,32.28,1000000000,45.81,China
Bank of America,32.17,1000000000,29.19,USA
Verizon,28.68,1000000000,36.46,USA
BMW,27.67,1000000000,122.31,Germany
Meta Platforms (Facebook),27.64,1000000000,281.00,USA
UnitedHealth,27.15,1000000000,458.49,USA
HSBC,26.24,1000000000,39.18,UK
TSMC,25.22,1000000000,104.57,Taiwan
ConocoPhillips,24.89,1000000000,104.92,USA
BTS Group,24.86,1000000000,0.22,Thailand
Samsung,24.81,1000000000,56.51,S. Korea
COSCO Shipping,24.73,1000000000,1.52,China
Johnson & Johnson,24.48,1000000000,164.23,USA
CM Bank,24.28,1000000000,4.83,China
Imperial Oil,24.26,1000000000,49.73,Canada
China Mobile,24.12,1000000000,8.13,China
Home Depot,23.74,1000000000,300.38,USA
Marathon Petroleum,22.94,1000000000,113.29,USA
Glencore,22.87,1000000000,6.03,Switzerland
Toyota,22.46,1000000000,164.35,Japan
Mercedes-Benz,21.85,1000000000,83.32,Germany
LVMH,21.54,1000000000,950.95,France
Dior,21.52,1000000000,896.65,France
Volkswagen,20.72,1000000000,141.25,Germany
Rio Tinto,20.51,1000000000,67.55,UK
ENI,20.24,1000000000,28.43,Italy
Alibaba,19.95,1000000000,92.10,China
Citigroup,19.72,1000000000,48.19,USA
Ping An Insurance,19.34,1000000000,6.83,China
Walmart,19.14,1000000000,155.53,USA
CITIC limited,18.95,1000000000,1.29,China
Visa,18.95,1000000000,228.91,USA
Valero Energy,18.67,1000000000,114.21,USA
Sberbank,18.50,1000000000,1.95,Russia
Procter & Gamble,18.40,1000000000,149.54,USA
Roche,17.67,1000000000,314.07,Switzerland
Phillips 66,17.16,1000000000,97.13,USA
Rosneft,16.98,1000000000,5.06,Russia
Vale,16.48,1000000000,14.44,Brazil
Merck,16.46,1000000000,109.32,USA
Wells Fargo,16.30,1000000000,42.18,USA
Sinopec,15.66,1000000000,0.91,China
Santander,15.60,1000000000,3.49,Spain
Hapag-Lloyd,15.54,1000000000,205.71,Germany
Fannie Mae,15.44,1000000000,2.77,USA
Broadcom,15.32,1000000000,868.11,USA
Royal Bank Of Canada,15.24,1000000000,95.45,Canada
Industrial Bank,14.96,1000000000,2.39,China
Cisco,14.67,1000000000,52.07,USA
Bank of Communications,14.40,1000000000,0.82,China
China Shenhua Energy,14.04,1000000000,4.21,China
United Parcel Service,13.95,1000000000,178.58,USA
Allianz,13.92,1000000000,230.24,Germany
Toronto Dominion Bank,13.75,1000000000,61.16,Canada
Deere & Company,13.45,1000000000,407.63,USA
Kweichow Moutai,13.44,1000000000,252.52,China
Coca-Cola,13.35,1000000000,61.67,USA
Occidental Petroleum,13.26,1000000000,58.15,USA
Morgan Stanley,13.26,1000000000,88.09,USA
Postal Savings Bank of China,13.24,1000000000,0.72,China
China State Construction Engineering,13.18,1000000000,0.86,China
NTT (Nippon Telegraph & Telephone),13.14,1000000000,29.47,Japan
Lukoil,13.07,1000000000,56.31,Russia
Tesla,13.05,1000000000,260.54,USA
Mitsubishi Corporation,13.01,1000000000,49.36,Japan
Oracle,12.89,1000000000,125.46,USA
Goldman Sachs,12.82,1000000000,338.31,USA
BNP Paribas,12.67,1000000000,61.93,France
Ecopetrol,12.60,1000000000,10.45,eu Colombia
QUALCOMM,12.53,1000000000,122.68,USA
Evergrande,12.34,1000000000,0.21,China
Vitru,12.25,1000000000,15.70,Brazil
Nestlé,12.21,1000000000,121.27,Switzerland
EOG Resources,12.17,1000000000,113.41,USA
Charter Communications,12.04,1000000000,341.24,USA
Berkshire Hathaway,11.90,1000000000,338.31,USA
Enel,11.86,1000000000,6.69,Italy
Cheniere Energy,11.81,1000000000,148.68,USA
Mastercard,11.81,1000000000,376.53,USA
Reliance Industries,11.67,1000000000,31.46,India
Philip Morris,11.63,1000000000,94.89,USA
Mitsubishi UFJ Financial,11.60,1000000000,6.93,Japan
General Motors,11.59,1000000000,37.96,USA
Anheuser-Busch Inbev,11.34,1000000000,58.21,Belgium
Mitsui Bussan,11.13,1000000000,39.54,Japan
Inpex,11.04,1000000000,11.67,Japan
Banco Bilbao Vizcaya Argentaria,11.02,1000000000,7.45,Spain
CITIC Bank,10.90,1000000000,0.86,China
OMV,10.80,1000000000,43.75,Austria
Novo Nordisk,10.66,1000000000,161.29,Denmark
First Citizens BancShares,10.60,1000000000,"1,283",USA
Hyundai,10.59,1000000000,41.82,S. Korea
HCA Healthcare,10.50,1000000000,290.08,USA
Lowe's Companies,10.14,1000000000,217.08,USA
Exor,10.12,1000000000,88.72,Netherlands
Orient Overseas Container Line,10.08,1000000000,13.26,Hong Kong
Deutsche Telekom,10.03,1000000000,21.27,Germany
UniCredit,9.89,1000000000,21.08,Italy
Caterpillar,9.85,1000000000,245.27,USA
Comcast,9.76,1000000000,41.20,USA
Evergreen Marine,9.75,1000000000,5.42,Taiwan
Siemens,9.74,1000000000,179.31,Germany
Cigna,9.69,1000000000,268.83,USA
Texas Instruments,9.68,1000000000,176.76,USA
Nippon Yūsen,9.67,1000000000,21.65,Japan
Charles Schwab,9.65,1000000000,54.40,USA
Anglo American,9.48,1000000000,32.52,UK
Ford,9.41,1000000000,14.42,USA
Commonwealth Bank,9.41,1000000000,68.37,Australia
Suncor Energy,9.41,1000000000,30.14,Canada
Freddie Mac,9.35,1000000000,2.95,USA
Accenture,9.33,1000000000,319.54,Ireland
Sanofi,9.32,1000000000,52.04,France
Scotiabank,9.30,1000000000,50.16,Canada
Nornickel,9.28,1000000000,211.35,Russia
CNOOC,9.27,1000000000,1.44,China
State Bank of India,9.23,1000000000,6.97,India
Banco do Brasil,9.20,1000000000,10.30,Brazil
BioNTech,9.19,1000000000,112.55,Germany
Woodside Energy,9.17,1000000000,24.73,Australia
Koç Holding,9.15,1000000000,4.21,Turkey
General Electric,9.14,1000000000,106.29,USA
Crédit Agricole,9.12,1000000000,11.86,France
Nutrien,9.12,1000000000,60.07,Canada
Pioneer Natural Resources,9.11,1000000000,206.80,USA
Amgen,9.11,1000000000,229.66,USA
Union Pacific Corporation,9.09,1000000000,204.67,USA
Lloyds Banking Group,9.08,1000000000,2.27,UK
Nucor,9.08,1000000000,151.41,USA
